,skipper,Number,Ranking,Date_heure,Latitude,Longitude,Cap_lastR,Speed_lastR,VMG,Distance,DTF,DTL,Nat
0,Fabrice AMEDEO,0056,6,2020-11-08 14:00:00,46°25.19'N,01°49.87'W,357°,0.0,0.0,2788.7,24294.5,0.7,FRA
1,Romain ATTANASIO,0049,13,2020-11-08 14:00:00,46°25.26'N,01°49.29'W,357°,0.0,0.0,2788.8,24294.9,1.1,FRA
2,Alexia BARRIER,0072,27,2020-11-08 14:00:00,46°25.83'N,01°48.92'W,357°,0.0,0.0,2789.4,24295.4,1.6,FRA
3,Yannick BESTAVEN,0017,17,2020-11-08 14:00:00,46°25.14'N,01°48.91'W,357°,0.0,0.0,2788.7,24295.1,1.3,FRA
4,Jérémie BEYOU,0008,3,2020-11-08 14:00:00,46°24.91'N,01°49.99'W,357°,0.0,0.0,2788.5,24294.3,0.5,FRA
5,Arnaud BOISSIÈRES,0014,NL,2020-11-08 14:00:00,,,,,,,,,FRA
6,Louis BURTON,0018,1,2020-11-08 14:00:00,46°24.46'N,01°50.48'W,357°,0.0,0.0,2788.0,24293.9,0.0,FRA
7,Didac COSTA,0033,24,2020-11-08 14:00:00,46°25.59'N,01°48.85'W,357°,0.0,0.0,2789.1,24295.4,1.5,ESP
8,Manuel COUSIN,0071,21,2020-11-08 14:00:00,46°25.16'N,01°48.60'W,358°,0.0,0.0,2788.7,24295.3,1.5,FRA
9,Clarisse CREMER,0030,22,2020-11-08 14:00:00,46°25.78'N,01°49.03'W,357°,0.0,0.0,2789.3,24295.3,1.5,FRA
10,Charlie DALIN,0079,NL,2020-11-08 14:00:00,,,,,,,,,FRA
11,Sam DAVIES,0109,16,2020-11-08 14:00:00,46°25.62'N,01°49.36'W,357°,0.0,0.0,2789.2,24295.1,1.2,FRA
12,Sébastien DESTREMAU,0069,9,2020-11-08 14:00:00,46°25.04'N,01°49.32'W,357°,0.0,0.0,2788.6,24294.8,1.0,FRA
13,Benjamin DUTREUX,0009,25,2020-11-08 14:00:00,46°25.47'N,01°48.74'W,357°,0.0,0.0,2789.0,24295.4,1.5,FRA
14,Kevin ESCOFFIER,0085,11,2020-11-08 14:00:00,46°25.14'N,01°49.22'W,357°,0.0,0.0,2788.7,24294.9,1.1,FRA
15,Clément GIRAUD,0083,15,2020-11-08 14:00:00,46°24.89'N,01°48.92'W,357°,0.0,0.0,2788.4,24295.0,1.2,FRA
16,Pip HARE,0777,10,2020-11-08 14:00:00,46°25.22'N,01°49.36'W,357°,0.0,0.0,2788.8,24294.9,1.0,GBR
17,Boris HERRMANN,0010,2,2020-11-08 14:00:00,46°24.34'N,01°49.82'W,357°,0.0,0.0,2787.9,24294.2,0.4,MON
18,Ari HUUSELA,0222,31,2020-11-08 14:00:00,46°25.65'N,01°48.21'W,358°,0.0,0.0,2789.1,24295.8,1.9,FIN
19,Isabelle JOSCHKE,0027,28,2020-11-08 14:00:00,46°24.98'N,01°48.22'W,358°,0.0,0.0,2788.5,24295.5,1.6,FRA
20,Jean LE CAM,0001,7,2020-11-08 14:00:00,46°24.90'N,01°49.49'W,357°,0.0,0.0,2788.4,24294.7,0.8,FRA
21,Stéphane LE DIRAISON,0092,12,2020-11-08 14:00:00,46°25.05'N,01°49.15'W,357°,0.0,0.0,2788.6,24294.9,1.1,FRA
22,Miranda MERRON,0050,30,2020-11-08 14:00:00,46°25.39'N,01°48.34'W,358°,0.0,0.0,2788.9,24295.6,1.7,FRA
23,Giancarlo PEDOTE,0034,18,2020-11-08 14:00:00,46°25.53'N,01°49.09'W,357°,0.0,0.0,2789.1,24295.2,1.3,ITA
24,Alan  ROURA,0007,23,2020-11-08 14:00:00,46°25.72'N,01°48.96'W,357°,0.0,0.0,2789.2,24295.3,1.5,SUI
25,Thomas RUYANT,0059,4,2020-11-08 14:00:00,46°24.71'N,01°49.68'W,357°,0.0,0.0,2788.3,24294.5,0.6,FRA
26,Damien SEGUIN,1000,14,2020-11-08 14:00:00,46°24.84'N,01°49.02'W,357°,0.0,0.0,2788.4,24294.9,1.1,FRA
27,Kojiro SHIRAISHI,0011,19,2020-11-08 14:00:00,46°25.42'N,01°49.00'W,357°,0.0,0.0,2788.9,24295.2,1.3,JPN
28,Sébastien SIMON,0004,29,2020-11-08 14:00:00,46°25.75'N,01°48.73'W,357°,0.0,0.0,2789.3,24295.5,1.6,FRA
29,Maxime SOREL,0053,5,2020-11-08 14:00:00,46°24.59'N,01°49.56'W,357°,0.0,0.0,2788.1,24294.5,0.6,FRA
30,Alex THOMSON,0099,8,2020-11-08 14:00:00,46°25.21'N,01°49.45'W,357°,0.0,0.0,2788.7,24294.8,1.0,GBR
